Carresse-Cassaber,carresse-cassaber,64270,43.4781,-0.995278
Castagnède,castagnede,64270,43.45,-0.983333
Casteide-Cami,casteide-cami,64170,43.416667,-0.516667
Casteide-Candau,casteide-candau,64370,43.516667,-0.566667
Casteide-Doat,casteide-doat,64460,43.383333,-0.016667
Castéra-Loubix,castera-loubix,64460,43.4,-0.033333
Castet,castet,64260,43.066667,-0.416667
Castetbon,castetbon,64190,43.383333,-0.783333
Castétis,castetis,64300,43.466667,-0.716667
Castetnau-Camblong,castetnau-camblong,64190,43.333333,-0.783333
Castetner,castetner,64300,43.45,-0.75
Castetpugon,castetpugon,64330,43.566667,-0.233333
CastillonCantond\Arthez-de-Béarn,castilloncanton-darthez-de-bearn,64370,43.4653,-0.576111
CastillonCantondeLembeye,castilloncanton-de-lembeye,64350,43.4803,-0.128056
Caubios-Loos,caubios-loos,64230,43.416667,-0.4
Cescau,cescau,64170,43.416667,-0.5
Cette-Eygun,cette-eygun,64490,42.933333,-0.591667
Charre,charre,64190,43.316667,-0.866667
Charritte-de-Bas,charritte-de-bas,64130,43.3,-0.883333
Chéraute,cheraute,64130,43.233333,-0.85
Ciboure,ciboure,64500,43.383333,-1.666667
Claracq,claracq,64330,43.5,-0.3
Coarraze,coarraze,64800,43.166667,-0.233333
Conchez-de-Béarn,conchez-de-bearn,64330,43.55,-0.166667
Corbère-Abères,corbere-aberes,64350,43.4728,-0.0883333
Coslédaà-Lube-Boast,cosledaa-lube-boast,64160,43.466667,-0.233333
Coublucq,coublucq,64410,43.533333,-0.366667
Crouseilles,crouseilles,64350,43.516667,-0.083333
Cuqueron,cuqueron,64360,43.316667,-0.55
Denguin,denguin,64230,43.366667,-0.5
Diusse,diusse,64330,43.566667,-0.166667
Doazon,doazon,64370,43.45,-0.55
Dognen,dognen,64190,43.283333,-0.733333
Domezain-Berraute,domezain-berraute,64120,43.333333,-0.966667
Doumy,doumy,64450,43.45,-0.366667
Eaux-Bonnes,eaux-bonnes,64440,42.975,-0.391667
Escos,escos,64270,43.45,-1
Escot,escot,64490,43.083333,-0.6
Escou,escou,64870,43.183333,-0.533333
Escoubès,escoubes,64160,43.416667,-0.233333
Escout,escout,64870,43.183333,-0.55
Escurès,escures,64350,43.466667,-0.116667
Eslourenties-Daban,eslourenties-daban,64420,43.3,-0.133333
Espéchède,espechede,64160,43.316667,-0.183333
Espelette,espelette,64250,43.333333,-1.45
Espès-Undurein,espes-undurein,64130,43.266667,-0.883333
Espiute,espiute,64390,43.366667,-0.916667
Espoey,espoey,64420,43.25,-0.166667
Esquiule,esquiule,64400,43.2,-0.716667
Estérençuby,esterencuby,64220,43.1,-1.183333
Estialescq,estialescq,64290,43.216667,-0.55
Estos,estos,64400,43.216667,-0.616667
Etcharry,etcharry,64120,43.333333,-0.933333
Etchebar,etchebar,64470,43.083333,-0.883333
Etsaut,etsaut,64490,42.908333,-0.575
Eysus,eysus,64400,43.133333,-0.583333
Féas,feas,64570,43.166667,-0.683333
Fichous-Riumayou,fichous-riumayou,64410,43.483333,-0.45
Gabaston,gabaston,64160,43.366667,-0.2
Gabat,gabat,64120,43.366667,-1.033333
Gamarthe,gamarthe,64220,43.2,-1.133333
Gan,gan,64290,43.233333,-0.383333
Garindein,garindein,64130,43.216667,-0.9
Garlède-Mondebat,garlede-mondebat,64450,43.5,-0.333333
Garlin,garlin,64330,43.566667,-0.25
Garos,garos,64410,43.5,-0.466667
Garris,garris,64120,43.35,-1.05
Gayon,gayon,64350,43.483333,-0.166667
Gelos,gelos,64110,43.283333,-0.366667
Ger,ger,64530,43.25,-0.05
Gerderest,gerderest,64160,43.416667,-0.183333
Gère-Bélesten,gere-belesten,64260,43.016667,-0.433333
Géronce,geronce,64400,43.233333,-0.683333
Gestas,gestas,64190,43.35,-0.883333
Géus-d\Arzacq,geus-darzacq,64370,43.483333,-0.516667
Geüs-d\Oloron,geus-doloron,64400,43.25,-0.7
Goès,goes,64400,43.2,-0.583333
Gomer,gomer,64420,43.25,-0.183333
Gotein-Libarrenx,gotein-libarrenx,64130,43.2,-0.9
Guéthary,guethary,64210,43.416667,-1.6
Guiche,guiche,64520,43.516667,-1.2
Guinarthe-Parenties,guinarthe-parenties,64390,43.383333,-0.95
Gurmençon,gurmencon,64400,43.15,-0.6
Gurs,gurs,64190,43.283333,-0.75
Hagetaubin,hagetaubin,64370,43.516667,-0.616667
Halsou,halsou,64480,43.366667,-1.416667
Hasparren,hasparren,64240,43.383333,-1.3
Haut-de-Bosdarros,haut-de-bosdarros,64800,43.183333,-0.316667
Haux,haux,64470,43.083333,-0.85
Hélette,helette,64640,43.3,-1.233333
Hendaye,hendaye,64700,43.358333,-1.775
Herrère,herrere,64680,43.166667,-0.533333
Higuères-Souye,higueres-souye,64160,43.383333,-0.266667
Hosta,hosta,64120,43.15,-1.083333
Hours,hours,64420,43.233333,-0.166667
Ibarrolle,ibarrolle,64120,43.2,-1.083333
Idaux-Mendy,idaux-mendy,64130,43.183333,-0.916667
Idron,idron,64320,43.2889,-0.311667
Igon,igon,64800,43.166667,-0.233333
Iholdy,iholdy,64640,43.283333,-1.166667
Ilharre,ilharre,64120,43.383333,-1.033333
Irissarry,irissarry,64780,43.266667,-1.233333
Irouléguy,irouleguy,64220,43.183333,-1.3
Ispoure,ispoure,64220,43.166667,-1.233333
Issor,issor,64570,43.1,-0.666667
Isturits,isturits,64240,43.366667,-1.2
Itxassou,itxassou,64250,43.316667,-1.4
Izeste,izeste,64260,43.092,-0.425833
Jasses,jasses,64190,43.316667,-0.75
Jatxou,jatxou,64480,43.383333,-1.433333
Jaxu,jaxu,64220,43.2,-1.183333
Jurançon,jurancon,64110,43.3,-0.383333
Juxue,juxue,64120,43.233333,-1.05
LaBastide-Clairence,la-bastide-clairence,64240,43.43,0.74389
Laà-Mondrans,laa-mondrans,64300,43.45,-0.766667
Laàs,laas,64390,43.383333,-0.85
Labastide-Cézéracq,labastide-cezeracq,64170,43.383333,-0.533333
Labastide-Monréjeau,labastide-monrejeau,64170,43.4,-0.516667
Labastide-Villefranche,labastide-villefranche,64270,43.45,-1.016667
Labatmale,labatmale,64530,43.183333,-0.15
Labatut,labatut,64460,43.425,-0.016667
Labets-Biscay,labets-biscay,64120,43.383333,-1.05
Labeyrie,labeyrie,64300,43.533333,-0.616667
Lacadée,lacadee,64300,43.533333,-0.65
Lacarre,lacarre,64220,43.183333,-1.166667
Lacarry-Arhan-Charritte-de-Haut,lacarry-arhan-charritte-de-haut,64470,43.085,-0.924444
Lacommande,lacommande,64360,43.283333,-0.5
Lacq,lacq,64170,43.416667,-0.633333
Lagor,lagor,64150,43.383333,-0.65
Lagos,lagos,64800,43.216667,-0.216667
Laguinge-Restoue,laguinge-restoue,64470,43.1,-0.85
Lahonce,lahonce,64990,43.483333,-1.383333
Lahontan,lahontan,64270,43.533333,-0.966667
Lahourcade,lahourcade,64150,43.35,-0.616667
Lalongue,lalongue,64350,43.483333,-0.183333
Lalonquette,lalonquette,64450,43.483333,-0.316667
Lamayou,lamayou,64460,43.383333,-0.033333
Lanne-en-Barétous,lanne-en-baretous,64570,43.1131,-0.759722
Lannecaube,lannecaube,64350,43.483333,-0.216667
Lanneplaà,lanneplaa,64300,43.45,-0.816667
Lantabat,lantabat,64640,43.25,-1.116667
Larceveau-Arros-Cibits,larceveau-arros-cibits,64120,43.233333,-1.083333
Laroin,laroin,64110,43.3,-0.433333
