26666,163,Bastanès,bastanes,64190,43.35,-0.766667
26681,163,Bugnein,bugnein,64190,43.35,-0.783333
26692,163,Castetbon,castetbon,64190,43.383333,-0.783333
26693,163,Castetnau-Camblong,castetnau-camblong,64190,43.333333,-0.783333
26695,163,Charre,charre,64190,43.316667,-0.866667
26698,163,Dognen,dognen,64190,43.283333,-0.733333
26720,163,Gestas,gestas,64190,43.35,-0.883333
26726,163,Gurs,gurs,64190,43.283333,-0.75
26741,163,Jasses,jasses,64190,43.316667,-0.75
26756,163,Lay-Lamidou,lay-lamidou,64190,43.283333,-0.716667
26780,163,Méritein,meritein,64190,43.333333,-0.766667
26782,163,Montfort,montfort,64190,43.366667,-0.85
26786,163,Nabas,nabas,64190,43.333333,-0.866667
26787,163,Narp,narp,64190,43.366667,-0.833333
26788,163,Navarrenx,navarrenx,64190,43.333333,-0.75
26789,163,Ogenne-Camptort,ogenne-camptort,64190,43.316667,-0.7
26801,163,Ossenx,ossenx,64190,43.366667,-0.816667
26807,163,Préchacq-Josbaig,prechacq-josbaig,64190,43.266667,-0.716667
26808,163,Préchacq-Navarrenx,prechacq-navarrenx,64190,43.283333,-0.716667
26811,163,Rivehaute,rivehaute,64190,43.35,-0.883333
26832,163,Sus,sus,64190,43.3,-0.766667
26833,163,Susmiou,susmiou,64190,43.316667,-0.766667
26834,163,Tabaille-Usquain,tabaille-usquain,64190,43.366667,-0.9
26842,163,Viellenave-de-Navarrenx,viellenave-de-navarrenx,64190,43.35,-0.783333
2328,106,Bairols,bairols,6420,43.983333,7.133333
2338,106,Clans,clans,6420,44,7.15
2349,106,Ilonse,ilonse,6420,44.033333,7.1
2350,106,Isola,isola,6420,44.183333,7.05
2360,106,Marie,marie,6420,44.033333,7.133333
2370,106,Rimplas,rimplas,6420,44.066667,7.133333
2373,106,Roubion,roubion,6420,44.083333,7.05
2374,106,Roure,roure,6420,44.083333,7.083333
2383,106,Saint-Sauveur-sur-Tinée,saint-sauveur-sur-tinee,6420,44.083333,7.1
2393,106,Valdeblore,valdeblore,6420,44.0712,7.1714
26867,163,Arcangues,arcangues,64200,43.433333,-1.516667
26869,163,Bassussarry,bassussarry,64200,43.45,-1.5
26870,163,Biarritz,biarritz,64200,43.483333,-1.566667
26864,163,Ahetze,ahetze,64210,43.4,-1.566667
26866,163,Arbonne,arbonne,64210,43.433333,-1.55
26871,163,Bidart,bidart,64210,43.433333,-1.583333
26876,163,Guéthary,guethary,64210,43.416667,-1.6
